1,7,1,2024-03-21,2024-04-21,
2,1,1,2024-03-21,2024-04-21,
3,1,1,2024-03-21,2024-04-21,
4,1,1,2024-03-21,2024-04-21,
5,1,1,2024-03-21,2024-04-21,
6,1,1,2024-03-21,2024-04-21,
7,1,1,2024-03-21,2024-04-21,
8,1,1,2024-03-21,2024-04-21,
9,1,1,2024-03-21,2024-04-21,
10,1,1,2024-03-21,2024-04-21,
11,1,1,2024-03-21,2024-04-21,
12,2,2,2024-03-21,2024-04-21,
13,2,3,2024-03-21,2024-04-21,
14,2,3,2024-03-21,2024-04-21,
15,2,3,2024-03-21,2024-04-21,
16,2,3,2024-03-21,2024-04-21,
17,2,3,2024-03-21,2024-04-21,
